date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:43	854/854	---M-Z	200	added ('OK')	text/xml	date:Mon,%2016%20Mar%202020%2008:49:43%20GMT	https://www.datacaptive.com/xmlrpc.php?rsd	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/xmlrpc0db0.php	(from https://www.datacaptive.com/)
14:19:44	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Mon,%2016%20Mar%202020%2008:49:44%20GMT	https://www.datacaptive.com/wp-includes/wlwmanifest.xml	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-includes/wlwmanifest.xml	(from https://www.datacaptive.com/)
14:19:44	110994/110994	---MCZ	200	added ('OK')	application/json	date:Mon,%2016%20Mar%202020%2008:49:44%20GMT	https://www.datacaptive.com/wp-json/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-json/index.html	(from https://www.datacaptive.com/)
14:19:45	2365/2365	---MCZ	200	added ('OK')	application/json	date:Mon,%2016%20Mar%202020%2008:49:44%20GMT	https://www.datacaptive.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.datacaptive.com%2F	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-json/oembed/1.0/embed53f7.json	(from https://www.datacaptive.com/)
14:19:46	2502/2502	---M-Z	200	added ('OK')	text/xml	date:Mon,%2016%20Mar%202020%2008:49:45%20GMT	https://www.datacaptive.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.datacaptive.com%2F&format=xml	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-json/oembed/1.0/embedfe8c	(from https://www.datacaptive.com/)
14:19:46	19817/19817	---M-Z	200	added ('OK')	text/javascript	etag:%22ff4d111a6ed61dcd171eee0565d8e995%22	http://a.mailmunch.co/app/v1/site.js	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/a.mailmunch.co/app/v1/site.js	(from https://www.datacaptive.com/)
14:19:47	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2016%20Mar%202020%2008:49:46%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.googletagmanager.com/gtm.125445.delayed	(from https://www.datacaptive.com/)
14:19:47	4410/4410	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Mar%202020%2009:18:44%20GMT	https://www.datacaptive.com/wp-content/uploads/2018/07/favicon-150x150.png	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2018/07/favicon-150x150.png	(from https://www.datacaptive.com/)
14:19:47	4351/4351	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Mar%202020%2009:18:43%20GMT	https://www.datacaptive.com/wp-content/uploads/2018/07/favicon.png	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2018/07/favicon.png	(from https://www.datacaptive.com/)
14:19:48	405/405	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Mar%202020%2009:45:11%20GMT	https://www.datacaptive.com/wp-content/uploads/2019/08/close-icon.png	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2019/08/close-icon.png	(from https://www.datacaptive.com/)
